rg,smi,lable
[Co][Sc]=[Sc][Ni][Co][Sc][Co][Ni][Co][Sc][Zn],Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3ccn4ncnc(N)c34)cc2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]([Ni])[Co][Ni][Sc][Ni][Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1ccc(F)c(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4ccccc4C(F)(F)F)c3)ncnc12,
[Co][Ti]=[Sc][Sc]([Co])[Hf]([Zn])[Zn]([Zn])[Ni][Zn],CC1CC(N(C)C(=O)CC(C)(C)C)CN(c2cc(-c3ccc4c(N)n[nH]c4c3)nc(N)n2)C1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Zn][Sc]([Zn])[Zn],Cc1cc(C(F)(F)F)nn1CC(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,
[Sc][Zn][Co][Sc][Sc][Sc][Zn],CC(C)(C)c1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1,
[Co][Sc]([Sc][Ni])([Sc][Ni][Hf])[Ni][Co][Zn],CNC(=O)c1cc(-c2ccc(F)cc2)cc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)c1N,
[Sc][Co][Ni][Co][Sc][Sc]([Zn])[Ti][Sc][Zn][Y],CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,
[Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn],O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,
[Sc][Zn]([Y])[Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NC(CN3CCCC3)c3ccccc3)ncnc12,
[Sc][Zn][W]([Zn])[Zn][Sc][Zn],CN1C(=O)C(=Cc2ccncc2)SC1=Nc1ccc(C(F)(F)F)cc1,
[Co][Sc]1[Zn][Zn][Ni]([Sc][Ni])[Sc]1[Zn],Nc1ncc2c(n1)-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,
[Sc]=[Sc][Zn][Co][Sc][Ni][Co][Sc][Zn],O=C(Nc1cccc(Br)c1)c1nscc1NCc1ccnc2ccccc12,
[Sc][Ni][Zn][Mn][Co],Nc1ncnc2c1ncn2CC(=O)c1ccccc1,
[Co][Sc][Zn][W]([Zn])[Zn][Sc][Zn],CCc1ccc(N=C2SC(Cc3ccnc(N)c3)C(=O)N2C)cc1,
[Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],O=C(Nc1ncc(CCNc2ncnc3ccsc23)s1)c1cccc(C(F)(F)F)c1,
[Sc][Zn]1[Zn]([Ni][Co][Sc][Zn])[Zn]([Zn])[Co][Zn]2[Zn][Zn]([Zn])([Zn])[Zn][Ni][Zn]21,CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccccc2)C2=C(CC(C)(C)CC2=O)N1,
[Sc]=[Sc][Co][Sc]([Co][Zn][Sc][Ni][Zn])[Co][Zn]([Ti])[Ni][Co],COc1ccccc1CCNc1nc(Nc2ccc3ncccc3c2)nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)n1,
[Sc][Mn][Co][Sc][Zn][Co][Sc]=[Sc],c1ccc(-c2c[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)n2)cc1,
[Co][Sc][Mn][Hf],Nc1nonc1-c1nc2cnccc2n1C1CCCCC1,
[Cr][Zn],Cc1cc2[nH]ncc2c(=O)[nH]1,
[Sc]=[Sc]([Co][Ti][Hf])[Zn][Sc][Co][Ni][Zn],CC(=O)Nc1ccc(Sc2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)cc1,
[Sc][Sc]([Sc])=[Sc][Co][Zn][Zn]1([Ni][Zn])[Ni][Zn]([Ni][Zn])[Zn][Zn]1,COC1C=CC(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)(OC)O1,
[Zn][Ni][Co][Zn][Hf][Mn]([Zn])[Sc]([Zn])[Zn],CC(=O)NCC1CCN(c2c(Cl)cnc3[nH]c(-c4cn(C)nc4C)nc23)C1,
[Sc][Sc]=[Sc][Co][W]=[Sc],O=C1OC(Nc2ncc3nnn(-c4ccccc4)c3n2)c2ccccc21,
[Ti][Hf]=[Ti][Ni][Co][Sc][Zn][Sc][Zn][Zn],N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4c3CC(c3cn[nH]c3)CC4)cn2)c1,
[Ti][Mn]([Zn])[Co][Sc][Zn][V][Zn],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cn3cccc(C)c3=O)ns2)n1,
[Sc][Zn][Zn][Co][Ti]([Zn])[Ni][Ni][Zn],CCOC(=O)c1c(C)n[nH]c1NN=Cc1ccccc1,
[Zn][Co][Ni][Sc][Co][Ti][Co][Sc]([Ni][Zn])=[Hf][Ni][Zn][Nb]([Zn])[Zn],CNC(=O)c1ncccc1Nc1nc(Nc2cc3c(cc2OC)CCCN3C(=O)CN(C)C)nc2[nH]ccc12,
[Cu][Sc]([Ni][Zn])[Zn][Zn][Co][Sc]=[Sc][Zn],COc1cc(C=NNc2ncnc3c2cnn3C(C)C)ccc1O,
[Ni][Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],O=C(Nc1ccc(F)cc1)Nc1ccc(CNc2nc3ccc(OCCN4CCOCC4)cc3s2)cc1,
[Sc][Sc]([Sc])([Zn][Zn])[Zn][Sc]([Sc][Zn])[Ni][Zn],CC(=O)c1nn(-c2ccc(C)cc2)c(=Nc2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)s1,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],O=C(Nc1ccc(Cl)cc1)Nc1ccc(CNc2nc3ccc(OCCN4CCOCC4)cc3s2)cc1,
[Zn][Ti][Co][Sc]([W])[Co][Sc][Nb]([Zn])[Mo],Cc1cc(Nc2cc(N3CCOCC3)nc(Nc3ccc([N+](=O)[O-])cc3)n2)n[nH]1,
[Co][Ni][Sc]=[Sc][Co][Zn][Co][Ni][Zn]1[Zn][Zn][Zn][Zn]([Ni][Zn][Nb]([Zn])[Zn])[Zn]1,C=CCC(C=CNC(=O)C1=CCCC(OCCCN(C)C)=C1)CNc1ncnc2c(C(N)=O)cccc12,
[Sc][Co][Ni][Co][Sc][Sc]([Ti])[Zn],CC(C)(C)n1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,
[Mn][Co][Zn][Sc][Sc]([Cu])[Ni][Co][Sc][Ni][Ni][Zn],COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ncc[nH]4)nn3)ccc2O)c1,
[Sc][Co][Ni][Sc][Ni][Mn]([Zn])[Sc]([Zn])[Zn],Cc1nn(C)cc1-c1nc2c(Oc3ccc(C(=O)Nc4ccccc4)cc3)c(Cl)cnc2[nH]1,
[Sc][Zn][Co][Ni][Ti]([Zn])[Co][Zn][Zn][Sc][Ni][Zn],COc1ccc(C=NNc2[nH]nc(C)c2C(=O)NCCc2ccccc2)cc1,
[Sc][Zn]([Hf])[Co][Ni][Sc]=[Ti][Sc][Ni][Y][Zn],CN1CCC(Oc2ccc(-c3n[nH]c4ccc(C(=O)NC(c5ccsc5)C5CCCC5)cc34)cc2)CC1,
[Zn][Sc][Sc](=[Sc][Co][Sc]([Zn])[Ni][Hf][Nb]([Zn])[Zn])[Ni][Ni][Zn],CN(C)C1CCN(C(=O)c2ccc(Nc3cc4c(cn3)cc(-c3cnn(C)c3)n4C(=O)OC(C)(C)C)c(Cl)c2)CC1,
[Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Sc][Ni][Zn][Nb]([Zn])[Zn],CN(C)CCOc1ccc(-c2cc3c(NCCc4ccc(NC(=O)Nc5ccccc5)cc4)ncnc3o2)cc1,
[Zn][Sc][Zn][Ni][Sc]([Ni][Ni][Zn])[Mn]([Ni][Zn])[Ni][Zn],COC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,
[Sc][Ni][Co][Sc]=[Re][Zn][Ti](=[W])[Zn][Ni][W],O=C1Nc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=Cc1[nH]c2c(c1CCC(=O)N1CCOCC1)C(=O)CCC2,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn])[Ni][Zn][Nb]([Zn])[Zn],CCN(CC)CCOc1cc(C(N)=O)c2ncnc(NCc3cccc(NC(=O)c4ccc(OC)cc4)c3)c2c1,
[Sc]=[Sc][Co][Sc][Zn][Co][Sc]=[Sc],c1ccc2sc(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,
[Zn][Ni][Zn]([Sc][Co][Sc]=[Sc][Hf])[Zn][Y],CS(=O)(=O)N(CCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,
[Sc][Ti][Sc][Sc][Ni][Zn],COc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,
[Zn][Sc][Ni]1[Zn][Ti]([Zn])[Co][Sc]1[Zn][Zn],CSc1ncc2c(n1)Nc1n[nH]c(C)c1N=C2c1ccccc1Cl,
[Zn][Sc]([Co][Ti][Mn][Zn][Y])[Zn][Sc][Co][Ni][Hf],O=C(Nc1ccc(Sc2nc(Cl)cc(Nc3c[nH]nc3-c3nc4cc(CN5CCCCC5)ccc4[nH]3)n2)cc1)C1CC1,
[Ti][Co][Sc][Zn][Hf]([Sc][Zn])[Ni][Sc]([Ni])[Zn],Cc1nnc(C2(Cc3cccc(Nc4cc[nH]n4)n3)CCC(Oc3cccc(Cl)c3F)CC2)o1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Y])[Sc][Co][Ni][Sc]([Ni])[Zn],NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(=O)c4cc(C(F)(F)F)ccc4F)c3)ncnc12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Zn][Ni][Zn],COCCCNC(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,
[Sc][Mn]([Co])[Zn][Zn][Nb],N=C(N)NN=Cc1c(-c2ccccc2)nc2sc(N)nn12,
[Ni][Sc][Mn][Zn],Fc1ccc(-c2cn3cc(Cl)sc3n2)cc1,
[Zn][Mn][Sc][Nb]([Zn])[Mo],O=[N+]([O-])c1ccc(-c2cn3cc(Br)sc3n2)cc1,
[Co][Ti]=[Sc][Sc]([Co])[Hf]([Zn])[Ni][Co][Hf],CC1CCC(C(=O)NC2CCCCC2)CN1c1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Hf]([Zn])[Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CC2(C)C)c1,
[Ni][Sc]([Co][Ti][Co][Sc]([Ni][Zn])[Y][Zn])[Ni][Co][Zn]([Cu])[Cu],COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2C(=O)NCC(O)CO)c2cc[nH]c2n1,
[Co][Ni][Sc]([Zn])[Co][Sc]=[Sc][Hf]([Zn])[Zn],Cn1cc(Nc2ncc3cnn(C4CCC(C)(C)CC4)c3n2)cc1C(N)=O,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Sc][Ni],Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3F)ncc1CC2,
[Sc][Zn]([Cu])[Co][Sc][Zn]([Y])[Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(O)c4ccccc4)c3)ncnc12,
[Zn][Ni][Sc][Mn]([Zn])[Y][Zn][Hf],COc1ccc(-c2nc3c(N4CCN(CC5CC5)CC4)c(Br)cnc3[nH]2)cc1,
[Sc][Co][Sc]([Co][Sc][Mo])[Nb]([Zn])[Mo],O=C(O)c1ccc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3)n2)cc1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Sc][Co][Zn],CNc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,
[Mn][Sc]([Zn])[Nb]([Zn])[Mo],O=[N+]([O-])c1cc(-c2cn3ccsc3n2)ccc1Br,
[Mn][Zn][Sc][Zn]1[Ti]([Ni][Ni][Zn])[Co][Zn]2[Zn][Zn]([Zn])([Zn])[Zn][Ni][Zn]21,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,
[Ni][Sc][Zn][Zn][Co][Sc]=[Sc][Sc][Ni][Zn],COc1cccc(-n2ncc3c(NN=Cc4cccc(F)c4)ncnc32)c1,
[Sc][Ni][Co][Sc]=[Ti][Sc][Co][Ni][Zn][Ni][Ni][Zn],CC(C)OC(=O)CCC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,
[Ni][Sc]([Ni])[Sc]=[Ti][Co][Ni][Hf],O=C(Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12)C1CC1,
[Ti][Ti]=[Sc][Co][Sc][Ni][Zn][Y],c1cc(OCCN2CCOCC2)ccc1Nc1cc2[nH]c(-c3cn[nH]c3)cc2cn1,
[Sc][Mn]([Sc])[Co][Sc][W],c1cncc(-c2cn3c(-c4cccnc4)cnc3c(Nc3ccc(N4CCOCC4)cc3)n2)c1,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni])[Ni][Zn],COc1cc(C(N)=O)c2ncnc(NCc3cccc(NC(=O)c4ccc(F)cc4)c3)c2c1,
[Ti]=[Sc]([Zn])=[Sc][Co][Ni][Zn][Co][Sc]([Zn])[Ni][Co][Zn][Ni][Co],CC(C)(Nc1ccc(Cl)c(C(=O)NCC(N)=O)c1)C(=O)Nc1nc2c(C(F)(F)F)cc3[nH]ncc3c2s1,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],O=C(Nc1ccc(Cl)cc1)Nc1ccc(CNc2nc3ccc(OCCN4CCOCC4)cc3o2)cc1,
[Ni][Sc]([Co][Sc][Cu])[Co][Sc][Ni][Co][Zn],CCCNC(=O)c1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1,
[Ti]=[Sc]([Zn])[Sc]([Sc][Y]([Zn])[Zn])[Ni][Co],CC1(C)CN(c2ccc(-c3oc(-c4ccc(Cl)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1,
[Ti]=[Sc]=[Sc][Co][Ni][Hf][Co][Sc]([Ni])[Co][Ni][Zn],CC(=O)Nc1cc(NC2(C(=O)Nc3nc4ccc5[nH]ncc5c4s3)CC2)ccc1F,
[Sc]=[Sc]([Co][Ni][Co][Zn])[Ni][Sc][Sc][Co][Zn],CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)NC(C)(C)C)c3ccccc23)n1,
[Sc]=[Hf][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2ncnc(Nc3ccc(N4Cc5ccccc5C4)cc3)c2cc1OC,
[Zn][Y][Sc][Sc]=[Ta][Zn][Sc]([Zn])[Zn],CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn][Cu],COc1cc2c(Nc3cnn(CC(=O)Nc4cccc(F)c4F)c3)nncc2cc1OCCCN1CCCC1CO,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Zn])[Zn],Cc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1C,
[Ti][Sc]([Hf])=[Sc][Co],Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,
[Sc]=[Ti]=[Sc],c1ccc2c(c1)[nH]c1cnccc12,
[Co][Sc]([Zn])[Sc][Co][Sc][Nb]([Zn])[Mo],Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,
[Zn][Sc][Co][Ni][Sc][Sc][Sc]([Ni][Zn])[Ni][Zn],COc1cc(OC)cc(-c2cn(-c3cccc(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)c1,
[Zn][Sc][Zn]([Sc][Co][Ni][Ti]=[Hf]([Zn])[Zn])[Nb]([Zn])[Zn],Cc1cccc(C(CCN(C)C)n2cc(NC(=O)c3n[nH]c4c3CCC(C)(C)C4)cn2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Co][Zn][Ni][Zn],COCCNc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,
[Sc][Ni][Co][Cr]([Zn])[Sc][Zn],CCCCCc1nc2c(-c3ccc(Cl)cc3)n[nH]c2c(=O)n1NC(=O)c1ccccc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Sc][Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Nc2ccc(C(F)(F)F)cn2)c1,
[Sc][Zn][Sc]=[Sc][Co][Sc][Ni][Co],NS(=O)(=O)c1cccc(Nc2ncc3ccn(Cc4ccccc4)c3n2)c1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Ti][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn][Cu],COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Zn])[Ni][Zn][Nb]([Zn])[Zn][Ni][Zn],COCCN(C)CCCOc1cc(C(N)=O)c2ncnc(NCc3ccc(C(F)(F)F)cc3)c2c1,
[Sc][Sc]([Co])([Sc][Ni])[Ni][Co],NC(=O)c1cc(-c2ccc(F)cc2)cc(-c2ccncc2)c1N,
[Sc][Zn]([Cu])[Co][Cr][Mn]([Zn])[W],Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4ccccc4)cc[nH]c3=O)nc12,
[Sc]=[Mn]([Zn][Zn][Nb])[Sc]([Zn])[Zn],N=C(N)NN=Cc1c(-c2cc(Cl)sc2Cl)nc2sc3ccccc3n12,
[Ni][Sc]([Co][Sc][Cu])[Co][Sc][Ni][Co][Sc][Ni][Zn],COc1ccccc1NC(=O)c1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1,
[Mn][Sc]([Ni][Co])[Ni][Zn][Sc][Ni][Zn],COc1cccc(COc2cc(-n3cnc4ccccc43)sc2C(N)=O)c1,
[Co][Ni][Sc]([Hf])=[Sc][Co][Sc]([Zn])[Ni][Y][Zn],CN1CCN(C(=O)c2cc(Nc3ncc4cc(C(N)=O)n(C5CCCC5)c4n3)cn2C)CC1,
[Sc][Co][Ni][Co][Sc][Sc]([Zn])[Ti][Zn][Nb][Zn][Y][Zn],CCn1cc(-c2ccnc3[nH]c(CNCCCN4CCN(C)CC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,
[Zn][Ni][Sc][Sc][Co][Sc]([Ni][Zn])[Ni][Zn],CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(OC)c3)o2)c1,
[Ti][Sc][Zn]([Sc][Zn])[Nb][Zn],CC(C)(C)NC(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,
[Mn][Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,
[Sc][Sc]([Sc])=[Sc][Co][Zn][Ni][Zn][Cu],OCCOCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,
[Zn][Ni][Sc][Co][Mn][Sc][Co][Ni][Co][Sc][Ni][Zn],COc1ccc(NC(=O)Nc2cccc(-c3cn4ccnc4c(Nc4ccc(OC)cc4)n3)c2)cc1,
[Zn][Ni][Sc]=[Sc][Sc][Co][Sc]([Zn])[Ni][Zn],CCOc1ccc2c(-c3ccnc(Nc4cc(OC)cc(C(F)(F)F)c4)n3)cnn2n1,
[Cu][Zn]([Sc][Zn])[Co][Ni][Ti][Sc]([Zn])[Co][Sc]([Zn])[Zn],Cc1cnc(Nc2cccc(C)c2C)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,
[Co][Sc]([Zn])=[Cr][Sc][Y][Zn],CN1CCN(c2ccc(-c3cc4c(c(N)nn4C)c(=O)[nH]3)cc2)CC1,
[Sc][Co][Sc]([Ni])[Co][Sc],Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,
[Co][Ni][Sc](=[Sc][Co][Zn]([Sc][Zn])[Nb][Zn])[Ni][Zn],CNCC(Nc1ncnc2c(C(N)=O)cc(OC)cc12)c1cccc(Cl)c1,
[Sc]=[Sc][Sc]([Zn])=[Sc][Co],CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,
[Co][Sc]=[Sc]([Zn])[Sc]([Cu])[Zn],CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,
[Cu][Sc][Mn][Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3cc(-c4cccc(O)c4)cnc3[nH]2)cc1,
[Sc]=[V][W]([Ni][Ni][Zn])([Ni][Ni][Zn])([Ni][W]([Ni][Ni][Zn])([Ni][Ni][Zn])([Ni][Ni][Zn])[Zn][Ni][Ni][Zn])[Zn][Ni][Ni][Zn],CC(=O)OCC1OC(OC2C(COC(C)=O)OC(n3[se]c4ccccc4c3=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,
[Co][Sc]=[Sc][Sc][Co][Ni][Co][Sc]([Ni])[Zn],Nc1ncnc2scc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,
[Sc]=[Ti][Ni][Co][Sc][Zn][Sc][Zn][Zn],N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4ccccc34)cn2)c1,
[Sc]=[V]([Co][Ti][Zn])[Zn][Sc][Ni][Zn],Cc1cc(Nc2nn(Cc3ccc(S(C)(=O)=O)cc3)c(=O)c3ccccc23)n[nH]1,
[Sc]=[Ta]([Zn][Cu])[Re]=[Sc][Zn],O=C1Nc2cc(Br)ccc2C1=C1Nc2ccccc2C1=NO,
[Zn][Ni][Sc][Zn][Zn][Co][Ti]([Zn])[Ni][Co][Sc][Co][Ni][Zn],COc1ccc(C=NNc2[nH]nc(C)c2C(=O)Nc2cccc(NC(C)=O)c2)cc1,
[Co][Ni][Zn][Sc][Co][Sc][Co][Sc][Zn],NC(=O)CCCCc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,
[Co][Sc]([Sc][Zn][Cu])=[Sc][Sc][Co][Ni][Co][Sc][Ni][Zn]([Zn])[Zn],Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4ccc(OC(F)F)cc4)cc3)c12,
[Sc][Zn]([Co][Sc][Cu])[Ni][Co][Sc]=[Sc]=[Ti],O=C(Nc1nc2ccc3[nH]ncc3c2s1)C(Nc1cccc(O)c1)c1ccccc1,
[Ti][Mn]([Zn])[Co][Sc][Zn][Sc][Ni],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cc3ccc(F)cn3)ns2)n1,
[Sc]=[Mn]([Ni])[Sc]([Ni][Zn])([Ni][Zn])[Nb]([Zn])[Mo],COc1cc([N+](=O)[O-])c(OC)cc1-c1nc2sc3ccccc3n2c1C=O,
[Sc][Zn]([Cu])[Co][Ni][Ti][Sc]([Zn])[Co][Sc][Zn],Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3ccccc3)c2)n1,
[Co][Sc]=[Sc]([Zn])[Sc][Co][Ni][Co][Sc][Zn],CCc1cccc(NC(=O)Nc2ccc(-c3c(C)oc4ncnc(N)c34)cc2)c1,
[Zn][Sc][Zn][Y][Mn]([Zn])[Sc][Y][Zn][Ni][Zn],COCCN1CCN(c2ccc(-c3nc4c(N5CCN(Cc6cc(C)on6)CC5)c(Br)cnc4[nH]3)cc2)CC1,
[Co][Sc]([Sc][Zn][Ni][Co][Zn])=[Sc][Sc][Co][Ni][Co][Sc][Zn],CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1,
[Sc][Zn][Ni][Sc](=[Sc][Co][Zn]([Sc][Zn])[Nb][Zn])[Ni][Co],CNCC(Nc1ncnc2c(C(N)=O)cc(OCc3ccccc3)cc12)c1cccc(Cl)c1,
[Zn][Ti][Co][Sc]([Zn][Sc][Co][Ni][Zn])[Y][Zn],CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1,
[Zn][Ti][Sc][Ni][Zn],CCc1c(-c2ccc(C(C)=O)cc2)[nH]c2nccnc12,
[Ni][Sc][Ni][Co][Sc](=[Hf])[Zn][Zn],N#Cc1c(NC(=O)c2ccc(F)cc2)sc2c1CCCC2,
[Sc]=[Cr]=[Sc][Zn][W],O=C1CCCN1Cc1ccc2c(c1)[nH]c(=O)c1cccn12,
[Co][Ni][Sc][Co][Sc]([Co])[Zn]([Cu])[Sc]([Ni])[Ni],Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(O)c1c(F)cccc1F,
[Zn][Sc][Co][Ni][Co][Sc][Ti][Co][Ni][Sc][Y][Zn],Cc1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)[nH]n3)cc2)no1,
[Sc][Ni][Co][Sc]=[Re][Zn][Ti](=[W])[Zn][Ni][Co][Zn],CNC(=O)CCc1c(C=C2C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,
[Zn][Ti][Co][Sc]([Hf])[Co][Sc][Co][Ni][Hf],Cc1cc(Nc2cc(N3CCCCC3)nc(Nc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,
[Zn][Sc]([Mn]([Zn])[Zn][Zn][Nb]1[Zn][Zn]1)[Nb]([Zn])[Mo],Cc1nn2c(C=NNC3=NCCN3)c(-c3ccc(Cl)c([N+](=O)[O-])c3)nc2s1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Ni],NC(=O)c1cccc2c(NCc3ccc(F)cc3)ncnc12,
[Sc][Ni][Co][Zn][Sc][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(Nc3cccc(CNC(=O)c4cccnc4)c3)ncnc12,
