rg,smi,lable
[Sc][W][Zn][Sc]([Sc])([Sc])[Zn][Zn],N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1N=C1SCC(=O)N1c1ccccc1,
[Ti][Co][Sc][Zn][Hf]([Ni][Co])[Ni][Sc]([Ni])[Zn],NC(=O)C1(Cc2cncc(Nc3cc[nH]n3)n2)CCC(Oc2cccc(Cl)c2F)CC1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Ni])[Cu],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)c(O)c2)c1,
[Co][Ni][Sc][Co][Zn][Re]=[Sc][Zn],CC(C)c1ccc2c(c1)NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,
[Zn][Sc]([Co][Sc]=[Sc][Hf]=[Hf])[Ni][Hf][Zn][Y],Cn1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cc1C(=O)N1CCCC1CN1CCOCC1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Ti][Co][Sc]=[Sc][Ni][Zn][Y][Zn][Cu],O=C(Cc1cc(Nc2ncnc3cc(OCCCN4CCCC4CO)ccc23)n[nH]1)Nc1cccc(F)c1F,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]([Ni])([Ni])[Ni],NC(=O)c1cccc2c(NCc3cc(F)c(F)c(F)c3)ncnc12,
[Mn][Zn][Sc][Zn]1[Ti][Co][Zn]2[Zn][Zn][Zn][Ni][Zn]12,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]cc1N2,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Zn],NC(=O)c1cccc2c(NCc3ccccc3Cl)ncnc12,
[Sc][Co][Ni][Sc]([Sc])[Sc][Nb]([Zn])[Mo],O=C(Nc1ccccc1)c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,
[Co][Sc]=[Sc][Sc][Co][Ni][Co][Sc][Ni],Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,
[Sc][Sc]([Zn])=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn][Nb]([Zn])[Zn],CN(C)Cc1ccccc1NC(=O)Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1,
[Ti]=[Sc][Co][Sc]([Zn])[Co][Sc][Y][Zn],CCN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1,
[Sc][Zn]([Nb])[Co][Sc]=[Sc][Ni][Co],NCC(Cc1ccccc1)Nc1ncnc2c(C(N)=O)cccc12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Sc][Zn][Nb],NCc1cnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)s1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Nb])[Sc][Co][Ni][Sc][Ni],NCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)cc2)c1,
[Sc][Sc]([Zn])=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn][Y][Cu],O=C(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1)Nc1ccc(CN2CCC(O)CC2)cc1,
[Sc][Sc]=[Ti][Zn],Cc1n[nH]c2ccc(-c3cccnc3)cc12,
[Co][Ni][Sc]([Ni])[Co][Ti][Co][Sc]([Zn])([Co][Ni][Zn][Nb]([Zn])[Zn])[Ni][Zn],COc1cc(C)c(NC(=O)CN(C)C)cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,
[Sc]=[V]([Zn])[Co][Ti][Zn],Cc1cc(Nc2nn(CC(C)C)c(=O)c3ccccc23)n[nH]1,
[Mn][Mn][Zn],Cc1cccc2[nH]c(-n3c(=O)[nH]c4ccccc43)nc12,
[Co][Ni][Sc]=[Sc]([Mo])[Co][Y],NC(=O)c1cccc2c(NC3CCCNC3)c(C(=O)O)cnc12,
[Zn][Ti][Co][Sc]([Co][Sc]=[W])[Y][Zn],Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc4c(c3)OCO4)n2)n[nH]1,
[Sc][Sc]=[Sc]([Sc])[Co],Nc1c2cnc(-c3ccccc3)cc2nn1-c1ccccc1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Zn])[Ni][Zn],COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,
[Mo][Sc]=[Re],O=C(O)c1csc2c1NCCNC2=O,
[Co][Ni][Sc]([Zn])[Co][Sc]=[Sc][Zn],CC(C)n1ncc2cnc(Nc3cc(C(N)=O)n(C)c3)nc21,
[Ni][Mn][Sc]([Zn])[Nb]([Zn])[Mo],O=Cc1c(-c2ccc(Br)c([N+](=O)[O-])c2)nc2sccn12,
[Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn],O=C(Nc1ncc(CCNc2ncnc3ccsc23)s1)Nc1ccccc1Cl,
[Zn][Ni][Sc]=[Sc][Ni][Sc]=[Sc][Ni][Co][Zn][Ni][Zn],COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)ccc34)ccc12,
[Cr][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(=O)[nH]c2)c1,
[Co][Ni][Sc]=[Sc][Sc][Ni],NC(=O)c1cc2c(-c3cccc(F)c3)cncc2s1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Ni][Zn])[Ni][Zn],COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y],Cc1cn2c(-c3cnn(CC(=O)Nc4cccc(F)c4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,
[Cu][Zn][Nb]([Zn])[Zn][Ni][Sc]=[Sc][Co][Sc][Co][Ni][Co][Hf],CCN(CCO)CCCOc1ccc2c(Nc3ccc(NC(=O)NC4CCCCC4)cc3)ncnc2c1,
[Co][Ni][Sc]([Co][Ni][Co][Zn])=[Sc]([Zn])[Co][Ni][Zn]([Zn])[Zn],CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)N(C)C)cc2c1C(N)=O,
