smiles,Serine_threonine-protein_kinase_mTOR
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(C(=O)O)c3)nc2n1,1.0
CNCc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
COc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CC(C)OC(C)C4)nc3n2)c1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4cccc(O)c4)nc3n2)CC(C)O1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CNCCC(C)(C)C,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(CN(C)C(=O)C(F)(F)F)c3)nc2n1,1.0
COC(=O)c1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1OC,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(N)cc3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C(=O)NCC(F)(F)F)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2)nc2nc(-c3cccc(NS(C)(=O)=O)c3)ccc12,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(S(=O)(=O)NCCO)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(CNC(=O)C(F)(F)F)c3)nc2n1,0.0
CC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1O,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(O)c(CO)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(O)c3)nc2n1,1.0
COCCNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4ccc(CO)cc4)nc3n2)CC(C)O1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(NS(C)(=O)=O)cc3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccccc3)nc2n1,1.0
COCc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(C(=O)N(C)C)cc3)nc2n1,0.0
