smiles,Casein_kinase_I_alpha
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)N(C)C)s3)c2cc1OC,0.0
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Br,0.0
NC(=O)c1sc(-n2cnc3cc(C(F)(F)F)ccc32)cc1OCc1ccccc1Br,0.0
COc1ccc2ncn(-c3cc(OC(C)c4ccccc4Cl)c(C(N)=O)s3)c2c1,0.0
COc1ccc2ncn(-c3cc(OC(C)c4ccccc4C(F)(F)F)c(C(N)=O)s3)c2c1,0.0
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,0.0
COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC,0.0
CC(Oc1cc(-n2cnc3ccc(OCC(O)CO)cc32)sc1C(N)=O)c1ccccc1Cl,0.0
COC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,0.0
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(OC)c3)o2)c1,0.0
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(C(C)=O)c3)o2)c1,0.0
COc1ccc(Nc2ncc(-c3ccccc3)o2)cc1OC,0.0
NS(=O)(=O)c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,0.0
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1,0.0
COc1ccccc1Nc1ncc(-c2ccccc2)o1,0.0
CCN(CC)S(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3)o2)c1,0.0
N#Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,0.0
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1OC,0.0
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3Cl)o2)c1,0.0
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(F)c3)o2)c1,0.0
Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,0.0
c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,0.0
N#Cc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)cc1,1.0
