smiles,Serine_threonine-protein_kinase_AKT
CCCN(CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CN)C(=O)NC(CCC(C)C)C(N)=O)C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)CCCNC(=N)N,0.0
CC(=O)NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,1.0
COC(=O)c1ccc(-c2c(N)ncnc2N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCC3)CC2)cc1,1.0
CC(C)(C)OC(=O)n1ccc2c(NC(=O)Cc3nc(N4CCOCC4)cc(=O)[nH]3)cccc21,1.0
Cc1nc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)c(NC(C)C)n2n1,1.0
COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)C3=Cc2[nH]cc(C(=O)O)c2C)cc1,0.0
CC(C)(C)OC(=O)NC1CCN(C(=O)c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,0.0
Clc1ccc(C(NC2CCCCC2)c2ccc(-c3cn[nH]c3)cc2)cc1,0.0
O=C(N1CCN(c2ncnc3[nH]nc(Br)c23)CC1)C1(c2ccc(Cl)c(Cl)c2)CCNCC1,1.0
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccncc4)c3)cc12,0.0
O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)Nc1ccccc1F,1.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(F)c1O,1.0
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(C)C)c3)cn2CCN2CCC2)CC1,1.0
NC(COc1cncc(-c2ccc3cnccc3c2)c1)Cc1csc2ccccc12,1.0
CNc1c(-c2ccccc2)c(-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)nc2nc(-c3ccccn3)nn12,1.0
CCCCCCCCCCCCCCCCCCCCCCC1(C(=O)OCC)CCCC1OP(=O)(O)OCC[N+](C)(C)C,0.0
C=Cc1c(C)nc2cc(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nn12,0.0
COc1cccc(NC(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1,1.0
Cc1cccc(C(=O)Nc2cc(Sc3ncn[nH]3)c(O)c3ccccc23)c1,0.0
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cnc5ccccc5c4)c3)cc12,1.0
Cn1c(-c2ccc(S(C)(=O)=O)cc2)nc2c(Sc3ccccc3)ncnc21,0.0
CC(C)C(NC(=O)C1CCC2C(NC(=O)C(CCCNC(=N)N)NC(=O)OCc3ccccc3)COC(=O)N12)C(=O)NC(Cc1ccccc1)C(=O)NCc1ccccc1,0.0
NC(CNc1ncc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(C(F)(F)F)cc1,1.0
OCCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)CC1,1.0
