smiles,Serine_threonine-protein_kinase_PIM1
COC1CCN(c2c(NC(=O)c3nc(-c4cc(C)ccc4F)sc3N)cnn2C)CCC1N,1.0
COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,0.0
Nc1nc2c(-c3ccccn3)nccc2[nH]1,0.0
CN1CCN(c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)CC1=O,1.0
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCC(O)C3)n2)n1,1.0
FCCn1cc(-c2cc3c(-c4cccc(N5CCCNCC5)n4)n[nH]c3cn2)cn1,1.0
FC(F)(F)Oc1cccc(-c2cnn3ccc(NCC4CCOCC4)nc23)c1,1.0
O=C1NC(=O)C(=Cc2cccc(C(F)(F)F)c2)S1,1.0
Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnccc3C3CC(C)C(O)C(N)C3)n2)c1,1.0
c1ccc(-c2n[nH]cc2-c2ccncc2)cc1,0.0
COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,0.0
O=C(O)c1cc2cc(Br)cc(OCC(=O)N3CCNCC3)c2o1,1.0
O=C1C2=C(C(=O)c3c(O)ccc(O)c31)C(O)C(O)C(O)C2,0.0
COc1c(O)c(O)c2c(c1O)C(=O)c1cc(C)cc(O)c1C2=O,0.0
Cn1cc(-c2cc3c(-c4cccc(NC5CCC(N)CC5)n4)n[nH]c3cn2)cn1,1.0
CC1CC(N)CN(c2ccncc2Nc2cccc3cnc(-c4c(F)cccc4F)nc23)C1,1.0
CCCC(Oc1cccc2ccc(-c3nnc4ccccn34)nc12)C(CC)CN,1.0
c1cc(OC2CC3CCC(C2)N3)c2nc(-c3nnc4ccccn34)ccc2c1,1.0
CC(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2c(=O)n1-c1cccnc1,1.0
NC(=O)c1ccc(-c2c[nH]c3ncnc(NCCO)c23)cc1,1.0
NC1CCCN(c2cccc(-c3n[nH]c4cnc(-c5cccnc5)cc34)n2)CC1,1.0
CC(C)Nc1ccc2cnn(-c3cncc(-c4ccc(C(=O)O)cc4Cl)n3)c2c1,1.0
Cc1noc(C)c1-c1nc(C(=O)Nc2cnn(C)c2N2CCCC(N)CC2)c(N)s1,1.0
NCC1CCN(c2cccc(-c3n[nH]c4cnc(-c5cccnc5)cc34)n2)CC1,1.0
Cn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CC(N)C3)n2)cn1,1.0
c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c2c1,0.0
Fc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2n2cncc12,1.0
CC1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC(O)C1O,1.0
Cc1nc2cccc(-c3cc4c([nH]3)C(C)(C)NC4=O)c2nc1NC(C)(C)C,1.0
Brc1c(Br)c(Br)c2[nH]c(N3CCN4CCC3CC4)nc2c1Br,1.0
CCOCc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(NC(=O)OC)C(N)C3)ccc2F)c(F)c1,1.0
O=C1NC(=S)SC1=Cc1csc(-c2ccc(O)cc2)n1,1.0
Nc1cc(F)c(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1C1CC(N)CC(C(F)(F)F)C1,1.0
CCNC(=O)NCc1ccccc1-c1cc(-c2cnc(NC(C)C)s2)nc(NCCN(C)C)n1,0.0
COc1cc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)nc(OC(C)C)n1,1.0
Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1,0.0
CC1CCCCN1c1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,1.0
NC1CCN(c2nc(-c3n[nH]c4cnc(-c5cccnc5)cc34)ccc2Br)C1,1.0
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCC5)n4)c3c2)o1,1.0
NC1C=C(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CCC1F,1.0
Nc1nnc(-c2ccc3[nH]cc(-c4cccc(OC5CCC5)n4)c3c2)s1,1.0
CCc1ccc(F)c(-c2nc(C(=O)Nc3cnn(C)c3C3CCC(N)C(F)CO3)cs2)c1,1.0
Cn1ncc(NC(=O)c2csc(-c3cccc4c3cnn4C)n2)c1C1CCC(N)C(F)CO1,1.0
Cc1nc2cccc(-c3[nH]c4c(c3C)C(=O)NCC4)c2nc1NC(C)(C)C,1.0
c1ccc(Cc2cn(-c3ccc4[nH]ncc4c3)nn2)cc1,0.0
Clc1cc(OCCN2CCOCC2)ccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,1.0
COc1ccc(CNc2nnc(-c3ccc4[nH]cc(-c5cncc(C6CC6)n5)c4c3)o2)cc1,1.0
COc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2sccc12,1.0
O=C1C=C(CBr)C(=O)c2c(O)ccc(O)c21,0.0
OC1CCC(Nc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)C1,1.0
COc1ccc2c(c1CN1CCNCC1)OC(=Cc1c[nH]c3cnccc13)C2=O,1.0
COc1ccc2c(c1C(C)N1CCNCC1)OC(=Cc1n[nH]c3ncccc13)C2=O,1.0
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCCc3ccccn3)nc21,0.0
Cn1ncc(NC(=O)c2nc(-c3ccccc3F)sc2N)c1N1CCNCC2(CCO2)C1,1.0
CC1CC(N)CCC(c2c(NC(=O)c3nc(-c4c(F)cccc4F)sc3N)cnn2C)O1,1.0
Oc1ccc(-n2nnc3ccc(N4CCCCCC4)nc32)cc1,1.0
Cc1nc2cccc(-c3cc4c([nH]3)C(C)N(C(=O)OC(C)(C)C)C4=O)c2nc1NC(C)(C)C,1.0
OC1CCCN(c2ccncc2Nc2ncc3ccc(-c4nccs4)nn23)C1,1.0
N#CC1CCC(CNc2ccc3ncc(-c4cccc(Cl)c4)n3n2)CC1,1.0
CC(O)c1cncc(-c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)c1,1.0
Fc1ccccc1-c1c[nH]c2ccc(-c3nnc(NC4CCCNC4)s3)cc12,1.0
O=S1(=O)CCC(CNc2ccn3ncc(-c4cccc(C(F)(F)F)c4)c3n2)CC1,1.0
CC(C)Cn1cc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)cn1,1.0
Cc1cc(Cl)cc2c1NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,0.0
OC1CCN(c2cccc(-c3n[nH]c4cnc(-c5cccnc5)cc34)n2)CC1,1.0
CC1CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC(N)C1C#N,1.0
COC1COC(c2c(NC(=O)c3nc(-c4cc(C)ccc4F)sc3N)cnn2C)CCC1N,1.0
CN(C)Cc1nc2c(sc3ccc(C#CCCCCN4CCCCC4)cc32)c(=O)[nH]1,1.0
Fc1cccc(F)c1-c1ccc2[nH]nc(-c3cncc(OC4CNCCC45CC5)n3)c2c1,1.0
c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,0.0
Nc1nnc(-c2ccc3[nH]cc(-c4cccc(NCC5CC5)n4)c3c2)s1,1.0
COC(=O)NC1C(C)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(OC4CCOCC4)cc3F)n2)CC1N,1.0
COc1ccc2c(c1)oc1c(=O)[nH]c(-c3ccccc3Cl)nc12,0.0
NC1CCCN(c2c(C=C3SC(=O)NC3=O)cccc2-c2ccccc2)C1,1.0
Cc1nn(C)c2sc3c(=O)[nH]cnc3c12,0.0
Oc1ccc(-c2cnc3ccc(NCc4ccc(F)cc4)nn23)cc1,1.0
NC1CCCC(c2ccncc2NC(=O)c2cccc(-c3cc(F)cc(F)c3F)n2)C1,1.0
Clc1ccccc1Cn1cc(-c2ccc3[nH]ncc3c2)nn1,0.0
Cc1cc(F)c(-c2nc(C(=O)Nc3cnccc3C3CC(C)C(S(C)(=O)=O)C(N)C3)ccc2F)c(F)c1,1.0
Cn1ccc(-c2n[nH]c3cnc(-c4cccnc4)cc23)n1,1.0
Cc1c(O)c(O)c(O)c2c1COC2=O,0.0
CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21,1.0
N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2,1.0
COCC1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21,1.0
NCCC1CNC(=O)c2cc(-c3cccc(OC(F)(F)F)c3)c(-c3ccc4c(c3)OCO4)n21,1.0
CCCCNc1n[s+](O)nc1Nc1ccc(F)cc1,1.0
CN(C)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)nc(NS(=O)(=O)c3ccc(N)cc3)n2)cc1,1.0
Nc1ccc(-c2ccccn2)nc1C(=O)Nc1cnccc1N1CCCC(N)C1,1.0
CCN(CCN)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,0.0
CC(C)CN(C)c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,1.0
CCC1CNC(=O)c2cc(-c3cccc4cc(C)c(Nc5ccccc5)nc34)[nH]c21,1.0
CN(C)CCNc1cncc(-c2ccc3[nH]cc(-c4ccc(N)cc4)c3c2)n1,1.0
Nc1nc(-c2ccc(F)cc2)c(-c2ccc3ncccc3n2)s1,0.0
COc1cc(C=C(C#N)c2nc3cc(C)ccc3[nH]2)c(Br)cc1O,1.0
COCc1nnn(-c2nonc2N)c1C(=O)NN=C(C)c1ccc(O)cc1O,1.0
CC1CCC(N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,1.0
NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCNC4)cc3F)nc12,0.0
CNc1nnc(-c2ccc3[nH]cc(-c4ccc(F)cc4F)c3c2)s1,1.0
Cn1cc(-c2cc3c(-c4ccc(Br)c(N5CCN(CCS(C)(=O)=O)C(C)(C)C5)n4)n[nH]c3cn2)cn1,1.0
Clc1ccnc2[nH]c(-c3ccc(N4CCNCC4)cc3)cc12,0.0
CCn1cc(-c2cc3c(-c4cc(C(F)(F)F)ccn4)n[nH]c3cn2)cn1,1.0
NC(=O)c1ccsc1NC(=O)Cc1csc2ccccc12,0.0
COc1ccc2c(cnc3c([N+](=O)[O-])cc4[nH]ncc4c32)c1,1.0
O=C1NC(=S)n2c1cc1ccc(Oc3ccccc3)cc1c2=O,1.0
CC1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5CCCC(NC(=O)OC(C)(C)C)C5)nc34)[nH]c21,1.0
CC1CC(c2ccncc2NC(=O)c2csc(-c3c(F)cccc3F)n2)CC(N)C1n1ccnn1,1.0
O=c1[nH]ccc2[nH]c(-c3cccc4ccc(Nc5ccccc5Cl)nc34)cc12,1.0
O=c1cc(O)c2cc(Br)ccc2o1,0.0
CC(C)Cc1nnc(-c2ccc3[nH]cc(-c4nccc(C5CC5)n4)c3c2)o1,1.0
CCN(C)c1cnc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)cn1,1.0
Nc1nnc(-c2ccc3[nH]cc(-c4ccc5nccnc5c4)c3c2)s1,1.0
NC(=O)c1cc(-c2cccs2)n2nccc2n1,0.0
FC(F)(F)CNc1nnc(-c2ccc3[nH]cc(-c4nccc(C5CC5)n4)c3c2)o1,1.0
Nc1cc(-c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)ccn1,1.0
NC1CC(C(F)(F)F)CN(c2ccncc2NC(=O)c2csc(C3CCCCC3)n2)C1,1.0
O=C1NC(=S)n2c1cc1ccccc1c2=O,0.0
O=CNC1CCC(Nc2ccc3ncc(-c4cccc(Cl)c4)n3n2)CC1,1.0
Nc1[nH]nc2ccccc12,0.0
O=c1cc(-c2ccc(F)cc2)[nH]c2c(-c3ccc(F)cc3)cnn12,1.0
CC1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5(C)CC5)nc34)[nH]c21,1.0
FC(F)n1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cn1,1.0
CCn1cc(-c2cc3c(-c4cccc(N5CC6CNCC6C5)n4)n[nH]c3cn2)cn1,1.0
Cc1nc2cccc(-c3cc4n(c3)CCNC4=O)c2nc1NC1(C)CC1,1.0
